,HCC1954_BrM2b_1,HCC1954_BrM2b_2,HCC1954_Parental_1,HCC1954_Parental_2,HCC1954_Parental_3
SPEN,5640.470859,5274.824862,6684.819468,6477.209841,6714.374699
SPERT,1.133079723,0,0.94941336,0,0
SPESP1,1.133079723,1.041426429,0.94941336,0,0
SPG11,2643.474993,2590.027529,2475.120629,2425.26184,2597.954678
SPG20,352.3877937,343.6707215,189.882672,164.7133334,178.6909781
SPG20OS,2.266159445,3.124279287,2.84824008,2.271908047,0
SPG21,5158.911977,5292.529111,3658.089676,3603.246162,3533.838476
SPG7,3923.855079,3880.354874,3410.292789,3304.490254,3233.572358
SPHAR,0,0,0,0,0
SPHK1,424.9048959,388.452058,715.8576734,690.6600462,618.4829289
SPHK2,599.3991732,610.2758873,638.9551913,644.0859312,536.0729344
SPHKAP,0,0,0,0,0
SPI1,1.133079723,0,0,0,0
SPIB,47.58934835,56.23702716,70.25658864,79.51678163,77.51435125
SPIC,0,0,0.94941336,3.40786207,0.815940539
SPICE1,714.9733049,692.5485752,832.6355167,882.6362761,887.7433069
SPIDR,1144.41052,1175.770438,1851.356052,1881.139863,1842.393738
SPIN1,7778.592295,7820.071054,7630.435174,7358.710163,7713.90186
SPIN2A,0,0,1.89882672,1.135954023,1.631881079
SPIN2B,109.9087331,118.7226129,113.9296032,107.9156322,114.2316755
SPIN3,504.2204765,505.091818,431.0336654,440.7501611,439.7919508
SPIN4,1544.387662,1419.464223,1588.368551,1541.48961,1563.342074
SPINK1,10.1977175,9.37283786,0.94941336,2.271908047,4.895643237
SPINK13,0,0,0,0,0
SPINK14,0,1.041426429,0,0,0
SPINK2,2.266159445,2.082852858,5.69648016,5.679770117,3.263762158
SPINK4,3.399239168,2.082852858,2.84824008,0,0.815940539
SPINK5,1.133079723,0,0.94941336,0,0.815940539
SPINK6,0,0,0,0,0
SPINK7,0,0,0,0,0
SPINK8,41.92394973,90.60409931,98.73898944,128.3628046,118.3113782
SPINK9,0,0,0,0,0
SPINT1,18047.69382,18906.05539,15655.82631,16269.13352,14722.01515
